GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-clientes,isi.dan.msclientes.exception,RestControllerException,31,32,3,1,3,5,3,3,1,3
ms-clientes,isi.dan.msclientes.exception,ClienteNotFoundException,0,4,0,0,0,2,0,1,0,1
ms-clientes,isi.dan.msclientes.exception,ObraFinalizadaException,4,0,0,0,2,0,1,0,1,0
ms-clientes,isi.dan.msclientes.exception,ErrorInfo,0,15,0,0,0,1,0,1,0,1
ms-clientes,isi.dan.msclientes.servicios,ClienteService,35,0,0,0,8,0,6,0,6,0
ms-clientes,isi.dan.msclientes.servicios,UsuarioHabilitadoService,29,0,0,0,7,0,6,0,6,0
ms-clientes,isi.dan.msclientes.servicios,ObraService,188,0,10,0,46,0,18,0,13,0
ms-clientes,isi.dan.msclientes.aop,LoggingAspect,33,7,0,0,8,2,1,2,1,2
ms-clientes,isi.dan.msclientes.model,Cliente,5,3,0,0,1,1,1,1,1,1
ms-clientes,isi.dan.msclientes.model,EstadoObra,3,21,0,0,1,4,1,1,1,1
ms-clientes,isi.dan.msclientes.model,UsuariosHabilitados,42,0,4,0,8,0,9,0,7,0
ms-clientes,isi.dan.msclientes.model,UsuarioHabilitado,35,3,0,0,15,1,10,1,10,1
ms-clientes,isi.dan.msclientes.config,ClienteConfig,12,3,2,0,4,1,3,1,2,1
ms-clientes,isi.dan.msclientes.controller,ClienteController,24,62,2,2,4,13,3,7,1,7
ms-clientes,isi.dan.msclientes.controller,UsuarioHabilitadoController,62,0,4,0,13,0,9,0,7,0
ms-clientes,isi.dan.msclientes.controller,ObraController,166,85,17,5,39,20,15,9,4,9
ms-clientes,isi.dan.msclientes,MsClientesApplication,5,3,0,0,2,1,1,1,1,1
